Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_o,char_t,char_a,char_r,char_i,char_n,char_s,char_d,char_u,char_c,char_l,char_h,char_m,char_p,char_g,char_f,char_b,char_y,char_w,char_v,char_q,Language
Arnaldo Forte,e,11.88,o,9.31,t,8.55,a,8.43,r,7.47,i,6.75,n,6.34,s,5.78,d,3.93,u,3.85,11.88,9.31,8.55,8.43,7.47,6.75,6.34,5.78,3.93,3.85,3.47,3.07,3.03,2.95,2.53,2.22,2.08,1.59,1.58,1.29,,,Portuguese
Cândido de Figueiredo,a,12.1,e,10.91,o,9.45,r,7.54,i,6.11,s,6.07,d,5.42,t,5.1,n,4.57,m,4.53,10.91,9.45,5.1,12.1,7.54,6.11,4.57,6.07,5.42,3.9,3.96,3.82,1.24,4.53,2.96,1.68,1.74,1.2,,,1.55,1.2,Portuguese
