Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_t,char_n,char_l,char_s,char_i,char_k,char_o,char_m,char_r,char_g,char_z,char_é,char_á,char_d,char_y,char_v,char_h,char_b,Language
Anicius Manlius Torquatus Severinus Boethius,e,11.45,a,8.02,t,7.8,n,6.55,l,6.22,s,6.03,i,4.8,k,4.58,o,4.27,m,4.18,11.45,8.02,7.8,6.55,6.22,6.03,4.8,4.58,4.27,4.18,3.82,3.74,3.48,3.15,2.68,2.62,2.22,2.11,2.03,1.83,Hungarian
Lajos Biró,e,10.21,a,9.47,t,7.52,n,6.79,l,5.67,o,4.98,s,4.95,r,4.82,i,4.38,m,4.23,10.21,9.47,7.52,6.79,5.67,4.95,4.38,3.65,4.98,4.23,4.82,3.92,3.2,2.46,2.82,2.63,2.51,1.77,2.17,2.01,Hungarian
