Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_t,char_r,char_n,char_o,char_a,char_i,char_s,char_d,char_l,char_g,char_h,char_u,char_m,char_c,char_p,char_f,char_k,char_b,char_y,char_v,char_j,Language
Christian Winther,e,13.39,t,8.74,r,7.73,n,7.38,o,7.17,a,6.93,i,6.25,s,5.29,d,5.02,l,3.83,13.39,8.74,7.73,7.38,7.17,6.93,6.25,5.29,5.02,3.83,3.49,3.08,2.84,2.54,2.45,2.19,2.16,1.7,1.6,1.59,,,Danish
Richard Marsh,e,15.75,a,8.22,r,7.52,n,7.43,t,7.39,d,6.77,i,5.54,s,5.26,o,4.53,g,4.51,15.75,7.39,7.52,7.43,4.53,8.22,5.54,5.26,6.77,4.27,4.51,2.65,1.93,3.16,,1.61,2.0,2.8,1.25,,2.58,1.21,Danish
Sophus Bauditz,e,16.16,a,8.56,r,7.74,n,7.47,d,6.84,t,6.64,i,5.38,s,5.23,g,4.98,o,4.73,16.16,6.64,7.74,7.47,4.73,8.56,5.38,5.23,6.84,4.59,4.98,2.39,2.16,3.18,,1.31,1.97,2.74,1.44,,2.65,1.05,Danish
