Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_n,char_s,char_i,char_r,char_t,char_d,char_a,char_h,char_u,char_l,char_c,char_g,char_o,char_m,char_b,char_w,char_f,char_k,char_z,char_p,char_y,char_v,char_q,Language
Joseph Frick,e,14.86,n,8.93,i,8.06,t,7.43,r,6.92,s,6.47,a,5.54,h,5.06,d,4.87,l,3.72,14.86,8.93,6.47,8.06,6.92,7.43,4.87,5.54,5.06,3.42,3.72,3.63,2.58,3.48,3.1,1.85,1.92,1.76,1.12,1.11,,,,,German
Kasimir Edschmid,e,16.69,n,9.2,i,8.42,r,6.93,s,6.71,t,6.06,a,5.92,h,5.16,d,4.69,u,3.63,16.69,9.2,6.71,8.42,6.93,6.06,4.69,5.92,5.16,3.63,3.62,3.22,3.0,2.24,2.69,1.99,1.45,1.94,1.43,1.06,,,,,German
Leopold Schefer,e,16.81,n,10.26,i,7.77,r,7.24,t,5.91,s,5.66,a,5.52,h,5.43,d,4.98,u,3.85,16.81,10.26,5.66,7.77,7.24,5.91,4.98,5.52,5.43,3.85,3.82,3.42,2.81,2.67,2.67,2.0,1.81,1.46,1.03,1.03,,,,,German
Mark Twain,e,15.81,n,10.34,i,7.74,r,6.63,s,6.06,a,5.99,t,5.98,h,5.5,d,4.86,u,3.98,15.81,10.34,6.06,7.74,6.63,5.98,4.86,5.99,5.5,3.98,3.55,3.57,2.82,2.58,2.86,1.91,2.05,1.57,1.28,1.14,,,,,German
Max Dauthendey,e,16.94,n,10.31,i,7.89,r,6.69,a,5.99,s,5.91,t,5.79,d,5.55,h,4.86,u,3.73,16.94,10.31,5.91,7.89,6.69,5.79,5.55,5.99,4.86,3.73,3.57,3.14,2.66,2.61,2.81,1.82,1.74,1.67,1.44,0.96,,,,,German
Minna Wettstein-Adelt,e,16.96,n,10.49,i,8.53,r,7.0,t,6.05,s,5.51,a,5.43,h,5.13,d,4.89,u,3.48,16.96,10.49,5.51,8.53,7.0,6.05,4.89,5.43,5.13,3.48,3.43,3.37,2.67,2.61,2.78,2.09,1.55,1.76,1.3,1.01,,,,,German
Moritz Spieß,e,16.72,n,9.83,r,6.9,i,6.87,t,6.16,s,6.02,a,5.7,d,5.21,h,4.97,u,3.87,16.72,9.83,6.02,6.87,6.9,6.16,5.21,5.7,4.97,3.87,3.74,3.19,3.38,2.57,2.75,2.39,1.54,1.75,1.31,1.15,,,,,German
Otto Weininger,e,16.87,n,10.05,i,8.51,s,6.62,r,6.46,t,5.74,d,4.91,a,4.89,h,4.8,l,3.88,16.87,10.05,6.62,8.51,6.46,5.74,4.91,4.89,4.8,3.71,3.88,3.24,2.98,2.52,2.52,1.93,1.63,1.5,1.19,1.12,,,,,German
Richard Andree,e,17.25,n,10.41,i,7.6,r,7.05,s,6.01,a,5.72,t,5.56,d,5.25,h,4.96,l,3.71,17.25,10.41,6.01,7.6,7.05,5.56,5.25,5.72,4.96,3.68,3.71,3.06,3.16,2.48,2.45,2.14,1.46,1.62,1.23,1.14,,,,,German
Sigmund Freud,e,17.02,n,10.18,i,7.89,r,7.22,s,6.06,t,5.96,a,5.41,d,5.07,h,4.54,u,4.22,17.02,10.18,6.06,7.89,7.22,5.96,5.07,5.41,4.54,4.22,3.57,3.0,2.99,2.25,2.92,1.9,1.56,1.45,1.2,1.14,,,,,German
Stendhal,e,17.17,n,10.01,i,8.07,r,7.41,a,5.9,t,5.85,s,5.81,d,4.95,h,4.91,l,3.54,17.17,10.01,5.81,8.07,7.41,5.85,4.95,5.9,4.91,3.43,3.54,3.21,3.02,2.7,2.54,1.87,1.58,1.67,1.04,1.27,,,,,German
Theodor Fontane,e,16.17,n,10.27,i,7.98,r,6.94,s,6.21,a,5.92,t,5.83,h,5.24,d,5.0,u,4.14,16.17,10.27,6.21,7.98,6.94,5.83,5.0,5.92,5.24,4.14,3.79,3.43,2.77,2.56,2.49,2.03,1.88,1.42,1.15,1.03,,,,,German
Thomas Mann,e,16.65,n,10.27,i,7.82,r,6.98,s,6.22,t,5.95,a,5.68,h,5.17,d,4.86,u,3.86,16.65,10.27,6.22,7.82,6.98,5.95,4.86,5.68,5.17,3.86,3.52,3.2,3.09,2.41,2.78,1.95,1.68,1.51,1.36,1.15,,,,,German
Unknown,e,17.01,i,8.05,n,7.8,t,7.15,s,7.1,r,6.78,a,6.77,u,5.87,l,5.15,o,4.79,17.01,7.8,7.1,8.05,6.78,7.15,3.6,6.77,2.72,5.87,5.15,2.86,1.81,4.79,2.8,1.14,,1.29,,,1.43,,1.18,0.9,German
Wilhelm Busch,e,13.05,t,8.56,i,7.76,n,7.71,r,7.47,o,6.29,a,6.09,s,5.6,d,4.08,h,4.07,13.05,7.71,5.6,7.76,7.47,8.56,4.08,6.09,4.07,3.72,3.83,3.72,2.32,6.29,2.68,1.84,1.68,2.13,1.36,,1.98,,,,German
