Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_t,char_o,char_a,char_n,char_i,char_r,char_s,char_h,char_l,char_d,char_c,char_u,char_f,char_m,char_p,char_g,char_y,char_b,char_w,char_ſ,char_v,char_ī,char_k,char_é,Language
Conway Evans,e,12.68,t,9.35,o,8.03,a,7.65,n,6.95,r,6.79,i,6.61,s,5.29,h,4.5,d,4.2,12.68,9.35,8.03,7.65,6.95,6.61,6.79,5.29,4.5,3.71,4.2,3.17,3.29,2.28,2.21,2.21,2.41,1.87,1.67,2.72,,,,,,English
Cooper Willyams,e,12.75,t,9.51,a,7.83,o,7.69,n,7.43,r,6.88,i,6.55,h,5.64,s,5.59,d,4.27,12.75,9.51,7.69,7.83,7.43,6.55,6.88,5.59,5.64,3.59,4.27,3.03,2.54,2.74,2.7,1.94,2.07,1.7,1.65,1.76,,,,,,English
Cosmos Mindeleff,e,12.98,t,9.58,o,8.08,a,7.74,n,6.84,i,6.79,r,6.73,s,6.24,h,5.18,l,4.52,12.98,9.58,8.08,7.74,6.84,6.79,6.73,6.24,5.18,4.52,3.64,3.12,2.79,2.67,2.23,1.9,1.84,1.35,1.63,1.71,,,,,,English
Courtney Ryley Cooper,e,12.96,t,9.91,a,8.29,n,7.26,o,6.97,i,6.68,h,6.63,r,6.02,s,5.96,d,3.95,12.96,9.91,6.97,8.29,7.26,6.68,6.02,5.96,6.63,3.74,3.95,2.8,2.57,2.26,2.36,1.9,2.36,1.57,1.55,2.16,,,,,,English
Covington Clarke,e,12.33,t,9.01,a,7.86,o,7.79,n,7.13,i,6.56,r,5.88,h,5.83,s,5.77,d,4.33,12.33,9.01,7.79,7.86,7.13,6.56,5.88,5.77,5.83,4.13,4.33,2.77,2.98,2.36,2.59,1.8,2.58,1.89,1.48,2.43,,,,,,English
Cyril M. Kornbluth,e,12.32,t,9.47,o,7.93,a,7.28,i,6.92,n,6.81,r,6.79,s,5.83,h,4.82,d,4.16,12.32,9.47,7.93,7.28,6.81,6.92,6.79,5.83,4.82,3.77,4.16,3.17,3.04,2.31,2.51,2.39,2.31,2.2,1.72,1.95,,,,,,English
D. H. Compton and Pierre Blot,e,12.55,t,9.98,o,7.93,a,7.6,i,6.94,r,6.53,n,6.43,s,6.35,h,4.85,l,4.44,12.55,9.98,7.93,7.6,6.43,6.94,6.53,6.35,4.85,4.44,3.64,2.87,2.95,2.56,2.13,2.55,1.97,1.9,1.76,1.8,,,,,,English
D. H. Lawrence,e,12.12,t,8.76,a,8.26,o,7.76,i,7.22,n,7.08,s,6.23,h,6.21,r,5.4,l,4.82,12.12,8.76,7.76,8.26,7.08,7.22,5.4,6.23,6.21,4.82,4.43,2.15,2.84,2.09,2.37,1.45,2.11,2.26,1.42,2.51,,,,,,English
D.G. (David George) Hogarth,e,12.52,t,8.96,a,8.29,o,7.65,n,6.89,s,6.4,i,6.32,r,6.27,h,5.9,d,4.43,12.52,8.96,7.65,8.29,6.89,6.32,6.27,6.4,5.9,4.34,4.43,2.45,2.81,2.64,2.23,1.73,2.06,1.66,1.68,2.48,,,,,,English
Dallas McCord Reynolds,e,12.67,t,9.2,o,8.02,a,7.83,n,6.91,i,6.57,s,6.19,r,6.1,h,5.29,l,4.09,12.67,9.2,8.02,7.83,6.91,6.57,6.1,6.19,5.29,4.09,4.08,2.8,3.0,2.05,2.64,2.04,1.97,2.34,1.53,2.05,,,,,,English
Dane Coolidge,e,12.57,t,9.03,a,8.11,o,7.36,h,7.27,n,6.54,s,6.12,i,6.1,r,5.61,d,4.89,12.57,9.03,7.36,8.11,6.54,6.1,5.61,6.12,7.27,4.19,4.89,2.39,2.95,1.94,2.39,1.54,2.26,1.91,1.78,2.58,,,,,,English
Daniel Defoe,e,12.34,t,9.76,a,8.11,o,7.93,n,6.79,i,6.68,h,6.53,s,5.92,r,5.73,d,4.5,12.34,9.76,7.93,8.11,6.79,6.68,5.73,5.92,6.53,3.5,4.5,2.42,2.66,2.4,2.62,1.82,1.96,2.0,1.62,2.51,,,,,,English
