Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_t,char_o,char_a,char_n,char_i,char_r,char_s,char_h,char_l,char_d,char_c,char_u,char_f,char_m,char_p,char_g,char_y,char_b,char_w,char_ſ,char_v,char_ī,char_k,char_é,Language
Edmund Luce,e,11.64,i,9.27,a,8.51,t,8.47,s,7.27,o,6.54,r,6.42,n,6.41,u,5.32,l,3.83,11.64,8.47,6.54,8.51,6.41,9.27,6.42,7.27,3.16,3.83,3.1,3.78,5.32,1.97,3.62,2.56,1.52,0.9,1.67,,,1.28,,,,English
Edmund Spenser,e,13.38,t,8.53,a,7.45,i,7.06,h,6.98,o,6.8,s,6.28,r,6.24,n,6.13,d,4.91,13.38,8.53,6.8,7.45,6.13,7.06,6.24,6.28,6.98,4.53,4.91,2.07,3.02,2.51,2.2,1.48,2.21,1.83,1.45,2.47,,,,,,English
Edward Albert,e,12.69,t,8.86,a,8.04,i,7.3,o,7.26,s,6.98,n,6.81,r,6.34,h,5.79,l,4.37,12.69,8.86,7.26,8.04,6.81,7.3,6.34,6.98,5.79,4.37,3.9,2.86,2.51,2.47,2.49,2.01,1.84,1.84,1.48,1.9,,,,,,English
Edward Carpenter,e,12.83,t,8.84,o,7.61,a,7.58,n,6.95,r,6.57,i,6.42,s,6.18,h,6.15,d,4.57,12.83,8.84,7.61,7.58,6.95,6.42,6.57,6.18,6.15,4.07,4.57,2.41,2.8,2.52,2.28,1.77,2.25,2.07,1.5,2.31,,,,,,English
Edward Costello,e,12.97,t,8.89,o,7.78,a,7.74,n,7.05,r,6.58,i,6.55,h,5.8,s,5.74,d,4.4,12.97,8.89,7.78,7.74,7.05,6.55,6.58,5.74,5.8,3.8,4.4,2.79,2.8,2.63,2.76,1.74,2.15,1.72,1.49,2.36,,,,,,English
Edward Frederic Benson,e,12.36,t,9.32,a,8.21,o,7.34,h,7.18,i,7.13,n,6.8,s,6.45,r,5.44,d,4.6,12.36,9.32,7.34,8.21,6.8,7.13,5.44,6.45,7.18,3.97,4.6,2.41,2.72,2.1,2.41,1.46,2.1,1.76,1.58,2.5,,,,,,English
Edward Gibbon,e,12.97,t,9.27,a,7.86,i,7.48,o,7.24,s,6.76,n,6.73,r,6.51,h,5.75,d,4.18,12.97,9.27,7.24,7.86,6.73,7.48,6.51,6.76,5.75,3.38,4.18,3.2,2.97,2.79,2.49,2.32,1.44,1.49,1.47,1.46,,,,,,English
Edward Lasker,e,11.07,t,9.64,a,7.34,i,6.6,o,6.44,n,6.44,s,5.7,h,5.19,r,5.13,p,4.29,11.07,9.64,6.44,7.34,6.44,6.6,5.13,5.7,5.19,3.35,2.82,3.48,1.98,2.13,1.8,4.29,1.98,,3.52,2.15,,,,3.9,,English
Edward Meyrick Goulburn,e,12.2,t,9.78,o,8.27,i,7.63,n,6.91,a,6.8,r,6.56,s,6.18,h,5.15,l,3.72,12.2,9.78,8.27,6.8,6.91,7.63,6.56,6.18,5.15,3.72,3.43,3.46,3.04,2.73,2.36,2.09,2.03,2.01,1.44,1.94,,,,,,English
Edward S. Ellis,e,12.72,t,9.18,a,8.27,o,7.45,n,6.77,i,6.69,h,6.51,s,6.42,r,5.84,d,4.44,12.72,9.18,7.45,8.27,6.77,6.69,5.84,6.42,6.51,3.73,4.44,2.5,2.81,2.3,2.33,1.91,2.12,1.79,1.45,2.47,,,,,,English
Edward Smith,e,12.43,t,9.67,o,8.0,a,7.53,n,7.01,i,7.0,r,6.27,s,6.15,h,5.66,l,3.83,12.43,9.67,8.0,7.53,7.01,7.0,6.27,6.15,5.66,3.83,3.81,3.0,2.77,2.54,2.51,2.23,1.88,1.77,1.82,2.07,,,,,,English
Edward Sylvester Ellis,e,12.67,t,9.93,a,7.75,o,7.37,h,7.04,i,6.8,n,6.76,s,5.93,r,5.92,d,4.37,12.67,9.93,7.37,7.75,6.76,6.8,5.92,5.93,7.04,3.68,4.37,2.44,2.8,2.3,2.13,1.7,2.03,1.66,1.67,2.66,,,,,,English
Edward W. Ludwig,e,12.26,t,9.73,o,8.37,a,7.05,i,6.83,r,6.68,n,6.65,s,5.58,h,4.6,d,4.02,12.26,9.73,8.37,7.05,6.65,6.83,6.68,5.58,4.6,3.52,4.02,3.32,3.25,2.32,2.48,2.34,2.59,2.04,1.82,1.95,,,,,,English
Edward William Lane,e,13.53,t,9.06,o,7.77,a,7.68,i,6.64,s,6.58,n,6.54,h,6.49,r,6.38,d,3.79,13.53,9.06,7.77,7.68,6.54,6.64,6.38,6.58,6.49,3.48,3.79,2.66,2.34,2.79,2.84,1.94,1.77,1.75,1.64,1.75,,,,,,English
Edwin A. Abbot,e,12.51,t,9.21,o,8.0,a,7.59,i,7.49,n,7.24,s,6.45,r,6.0,h,5.2,l,4.19,12.51,9.21,8.0,7.59,7.24,7.49,6.0,6.45,5.2,4.19,3.78,3.07,3.04,2.46,2.64,1.83,1.95,2.1,1.47,1.8,,,,,,English
Edwin Dingle,e,12.45,t,9.06,a,8.01,o,7.62,n,7.55,i,7.22,s,6.01,r,5.91,h,5.82,d,4.0,12.45,9.06,7.62,8.01,7.55,7.22,5.91,6.01,5.82,3.95,4.0,2.71,2.74,2.46,2.54,1.89,2.24,1.9,1.48,2.21,,,,,,English
Edwin Lefevre,e,11.78,t,10.18,a,8.12,o,8.01,i,7.07,n,6.75,s,6.17,h,5.47,r,5.32,d,4.14,11.78,10.18,8.01,8.12,6.75,7.07,5.32,6.17,5.47,3.96,4.14,2.63,2.88,2.11,2.66,1.82,2.01,2.24,1.7,2.36,,,,,,English
Edwin N. McClellan,e,12.39,a,8.6,t,8.59,n,8.04,i,7.6,r,7.24,o,7.14,s,6.03,d,4.21,h,4.05,12.39,8.59,7.14,8.6,8.04,7.6,7.24,6.03,4.05,3.39,4.21,3.6,2.43,2.95,2.9,2.02,1.97,1.42,1.48,1.31,,,,,,English
Edwin P. Norwood,e,12.79,t,9.77,a,8.05,o,7.54,n,6.67,h,6.44,i,6.09,s,5.84,r,5.51,d,4.71,12.79,9.77,7.54,8.05,6.67,6.09,5.51,5.84,6.44,4.29,4.71,2.37,2.7,2.18,2.23,1.73,2.49,2.08,1.52,2.65,,,,,,English
Effie Price Gladding,e,12.47,t,8.99,a,8.22,o,7.88,n,7.16,i,6.51,r,6.38,s,6.3,h,5.65,l,4.47,12.47,8.99,7.88,8.22,7.16,6.51,6.38,6.3,5.65,4.47,3.92,2.58,2.69,2.43,2.23,1.79,2.21,1.83,1.41,2.57,,,,,,English
Elaine McGee,e,11.74,t,9.43,a,8.16,o,8.08,i,7.55,n,7.39,r,6.72,s,6.34,l,4.48,h,3.79,11.74,9.43,8.08,8.16,7.39,7.55,6.72,6.34,3.79,4.48,3.64,3.65,3.25,2.27,2.55,2.18,2.13,1.38,1.76,1.42,,,,,,English
Eleanor H. Porter,e,12.33,t,9.21,a,7.91,o,7.67,n,7.09,h,6.36,i,6.28,s,6.0,r,5.49,l,4.76,12.33,9.21,7.67,7.91,7.09,6.28,5.49,6.0,6.36,4.76,4.67,2.09,2.93,1.89,2.49,1.71,1.98,2.69,1.45,2.58,,,,,,English
Eleanora H. Stooke,e,12.27,t,8.94,o,8.17,a,7.61,i,6.88,n,6.24,h,6.11,r,6.1,s,5.92,d,4.72,12.27,8.94,8.17,7.61,6.24,6.88,6.1,5.92,6.11,3.63,4.72,2.22,2.89,1.88,2.61,1.79,2.17,2.43,2.17,2.49,,,,,,English
Elias L__nnrot,e,13.02,t,8.97,o,7.6,n,7.17,a,7.14,h,7.1,s,6.81,i,6.56,r,6.32,l,4.43,13.02,8.97,7.6,7.14,7.17,6.56,6.32,6.81,7.1,4.43,3.97,1.96,2.38,2.57,2.72,1.46,2.18,1.57,1.37,2.26,,,,,,English
Elisha Kent Kane,e,12.84,t,9.32,a,7.89,o,7.54,n,6.92,i,6.74,r,6.4,s,6.36,h,5.39,d,4.0,12.84,9.32,7.54,7.89,6.92,6.74,6.4,6.36,5.39,3.72,4.0,2.93,2.9,2.65,2.48,1.79,2.1,1.64,1.63,2.31,,,,,,English
Eliza Grey,e,12.25,t,9.06,o,7.8,a,7.53,i,7.2,n,6.5,r,6.31,s,5.69,h,5.35,d,4.24,12.25,9.06,7.8,7.53,6.5,7.2,6.31,5.69,5.35,4.12,4.24,2.8,2.83,2.35,2.85,1.95,2.45,2.22,1.48,2.4,,,,,,English
Elizabeth Barrett Browning,e,12.06,t,8.62,o,8.12,a,7.66,s,6.74,n,6.54,i,6.52,h,6.16,r,6.04,l,4.47,12.06,8.62,8.12,7.66,6.54,6.52,6.04,6.74,6.16,4.47,4.23,2.32,3.2,2.27,2.65,1.77,2.08,2.12,1.44,2.54,,,,,,English
Elizabeth Burgoyne Corbett,e,12.56,t,8.86,o,7.9,a,7.87,i,6.82,n,6.54,s,6.06,r,5.95,h,5.67,d,4.34,12.56,8.86,7.9,7.87,6.54,6.82,5.95,6.06,5.67,4.12,4.34,2.49,3.13,2.36,2.85,1.8,1.9,2.31,1.62,2.46,,,,,,English
Elizabeth Cleghorn Gaskell,e,12.38,t,8.86,a,8.14,o,7.63,n,6.78,s,6.61,i,6.6,h,6.06,r,5.99,d,4.69,12.38,8.86,7.63,8.14,6.78,6.6,5.99,6.61,6.06,3.81,4.69,2.33,2.74,2.17,2.92,1.68,2.01,2.04,1.55,2.55,,,,,,English
Elizabeth Gaskell,e,12.47,t,9.03,o,7.97,a,7.93,n,6.81,h,6.58,i,6.53,r,6.26,s,6.19,d,4.26,12.47,9.03,7.97,7.93,6.81,6.53,6.26,6.19,6.58,3.97,4.26,2.21,2.83,2.28,2.76,1.55,2.17,2.04,1.44,2.39,,,,,,English
Elizabeth Morison,e,13.43,t,9.63,a,7.81,o,7.69,n,7.17,i,6.47,r,6.44,s,5.97,h,5.78,d,4.32,13.43,9.63,7.69,7.81,7.17,6.47,6.44,5.97,5.78,3.65,4.32,2.68,2.9,2.19,2.21,1.92,2.13,1.45,1.48,2.2,,,,,,English
Elizabeth Sandham,e,12.67,t,8.75,a,7.98,o,7.62,n,6.83,i,6.71,r,6.52,h,6.39,s,6.07,d,4.75,12.67,8.75,7.62,7.98,6.83,6.71,6.52,6.07,6.39,3.88,4.75,2.28,2.77,2.25,3.1,1.69,1.65,2.09,1.48,2.39,,,,,,English
Elizabeth Von Arnim,e,12.71,t,8.86,a,7.68,o,7.42,n,6.83,s,6.8,h,6.78,i,6.55,r,5.96,d,4.71,12.71,8.86,7.42,7.68,6.83,6.55,5.96,6.8,6.78,4.12,4.71,2.18,2.73,2.15,2.29,1.55,2.16,1.94,1.64,2.63,,,,,,English
Ellen G. White,e,13.24,t,9.63,o,7.59,a,7.08,i,6.85,n,6.72,h,6.7,s,6.49,r,6.22,d,4.31,13.24,9.63,7.59,7.08,6.72,6.85,6.22,6.49,6.7,3.82,4.31,2.83,2.55,2.73,2.21,2.06,1.93,1.59,1.44,1.99,,,,,,English
Ellis Parker Butler,e,11.88,t,9.42,a,8.33,o,7.85,i,7.23,n,6.81,h,5.67,s,5.65,r,5.41,d,4.5,11.88,9.42,7.85,8.33,6.81,7.23,5.41,5.65,5.67,4.39,4.5,2.35,2.96,2.14,2.57,1.73,2.32,2.14,1.79,2.49,,,,,,English
Ellis Spear,e,12.2,t,9.72,o,8.44,a,7.6,i,7.1,r,6.92,n,6.89,s,5.25,h,4.45,d,3.87,12.2,9.72,8.44,7.6,6.89,7.1,6.92,5.25,4.45,3.41,3.87,3.53,3.07,2.52,2.35,2.42,2.17,1.98,1.69,2.0,,,,,,English
Elphinstone Dayrell,e,13.02,t,9.76,h,8.27,a,8.22,o,7.75,n,6.63,i,5.9,s,5.22,r,5.06,d,4.91,13.02,9.76,7.75,8.22,6.63,5.9,5.06,5.22,8.27,3.5,4.91,2.06,2.76,2.25,2.42,1.61,2.16,1.7,1.64,2.77,,,,,,English
Ely Banister Soane,e,12.02,a,9.19,t,8.78,o,7.21,n,7.06,i,6.93,s,6.42,r,6.28,h,5.9,d,4.42,12.02,8.78,7.21,9.19,7.06,6.93,6.28,6.42,5.9,3.7,4.42,2.52,3.04,2.48,2.5,1.95,1.88,1.58,1.53,2.03,,,,,,English
El__onore Riego de la Branchardi__re,e,12.8,t,10.92,o,8.43,n,6.98,i,6.92,a,6.67,r,6.56,s,6.02,h,5.51,l,4.12,12.8,10.92,8.43,6.67,6.98,6.92,6.56,6.02,5.51,4.12,3.37,3.45,2.17,2.07,1.89,2.34,2.09,,1.49,2.43,,,,1.64,,English
Emerson Hough,e,12.21,t,8.85,a,8.25,o,8.11,n,6.86,i,6.82,s,6.32,h,6.04,r,5.72,d,4.14,12.21,8.85,8.11,8.25,6.86,6.82,5.72,6.32,6.04,4.1,4.14,2.4,3.02,2.25,3.02,1.53,1.91,2.27,1.3,2.61,,,,,,English
Emile Durkheim,e,12.99,t,10.26,i,8.51,a,7.46,o,7.29,s,7.01,n,6.81,h,5.92,r,5.75,l,3.72,12.99,10.26,7.29,7.46,6.81,8.51,5.75,7.01,5.92,3.72,2.98,3.43,2.44,2.51,2.63,1.98,1.59,1.6,1.42,1.64,,,,,,English
Emily Brontë,e,12.78,t,8.67,a,7.74,o,7.4,n,7.16,i,7.15,h,6.47,s,6.07,r,5.92,d,4.78,12.78,8.67,7.4,7.74,7.16,7.15,5.92,6.07,6.47,4.11,4.78,2.41,2.98,2.15,2.64,1.59,2.12,2.16,1.39,2.11,,,,,,English
Emily Dickinson,e,12.83,t,9.43,a,7.39,o,7.36,i,7.23,s,6.69,n,6.52,r,5.99,h,5.65,l,4.39,12.83,9.43,7.36,7.39,6.52,7.23,5.99,6.69,5.65,4.39,4.09,2.37,2.89,2.24,2.5,1.86,1.94,1.85,1.69,2.31,,,,,,English
Emily Post,e,12.6,t,9.19,o,8.14,a,8.1,n,7.21,s,6.94,i,6.67,r,6.43,h,5.47,l,4.08,12.6,9.19,8.14,8.1,7.21,6.67,6.43,6.94,5.47,4.08,3.51,2.65,2.8,2.25,2.35,1.82,2.01,2.04,1.65,1.79,,,,,,English
Epictetus,e,11.84,t,9.21,o,8.78,i,7.5,a,7.06,n,6.86,r,6.62,s,6.16,h,5.09,l,3.96,11.84,9.21,8.78,7.06,6.86,7.5,6.62,6.16,5.09,3.96,3.46,3.17,3.46,2.29,2.11,2.36,1.74,2.41,1.66,1.94,,,,,,English
Ernest Flagg Henderson,e,12.7,t,9.58,a,8.2,n,7.37,i,7.16,o,7.1,r,6.98,s,6.38,h,5.28,l,3.96,12.7,9.58,7.1,8.2,7.37,7.16,6.98,6.38,5.28,3.96,3.38,2.93,2.61,2.56,2.41,1.91,2.2,1.74,1.55,1.77,,,,,,English
Ernest Hemingway,e,12.15,t,9.73,a,8.16,o,7.92,i,6.74,n,6.69,h,6.4,s,5.61,r,5.25,d,4.83,12.15,9.73,7.92,8.16,6.69,6.74,5.25,5.61,6.4,4.24,4.83,2.17,2.91,1.78,2.26,1.51,2.41,2.01,1.71,2.84,,,,,,English
Escott Lynn,e,12.29,t,8.75,a,8.37,o,7.27,n,7.0,h,6.46,r,6.3,i,6.16,s,6.03,d,4.84,12.29,8.75,7.27,8.37,7.0,6.16,6.3,6.03,6.46,4.07,4.84,2.62,2.76,2.24,2.41,1.63,2.36,1.89,1.47,2.35,,,,,,English
Ethel Lynn,e,12.4,t,8.91,a,8.24,o,7.87,n,7.01,i,6.42,r,5.92,s,5.74,h,5.68,d,4.85,12.4,8.91,7.87,8.24,7.01,6.42,5.92,5.74,5.68,4.04,4.85,2.67,3.06,2.4,2.45,1.79,2.34,1.86,1.51,2.59,,,,,,English
Etsu Inagaki Sugimoto,e,12.45,t,8.79,a,8.23,o,7.74,n,6.78,i,6.58,s,6.38,h,6.1,r,6.1,d,4.54,12.45,8.79,7.74,8.23,6.78,6.58,6.1,6.38,6.1,4.13,4.54,2.31,2.67,2.38,2.55,1.71,2.21,1.94,1.53,2.61,,,,,,English
Eugene O'Neill,e,11.97,t,8.74,o,7.75,a,7.51,i,7.18,n,6.9,s,6.23,r,5.88,h,5.19,l,4.35,11.97,8.74,7.75,7.51,6.9,7.18,5.88,6.23,5.19,4.35,4.29,2.48,3.26,2.13,2.47,1.79,2.64,2.66,1.63,2.23,,,,,,English
Eug__ne Scribe,e,14.98,a,7.77,n,7.26,i,7.22,t,6.95,s,6.87,r,6.75,o,5.99,u,5.3,l,4.85,14.98,6.95,5.99,7.77,7.26,7.22,6.75,6.87,1.91,4.85,3.55,3.6,5.3,1.23,3.15,2.59,1.02,,1.32,,,1.79,,,1.23,English
Eug__ne Sue,e,12.74,t,9.02,o,8.14,a,7.93,i,6.54,r,6.35,h,6.34,n,6.31,s,6.12,d,4.31,12.74,9.02,8.14,7.93,6.31,6.54,6.35,6.12,6.34,3.97,4.31,2.46,2.79,2.48,2.46,1.76,1.86,2.11,1.77,2.19,,,,,,English
Euripides,e,12.82,t,9.13,o,7.93,a,7.82,n,6.8,h,6.56,i,6.33,s,6.3,r,6.2,d,4.31,12.82,9.13,7.93,7.82,6.8,6.33,6.2,6.3,6.56,4.21,4.31,2.3,2.6,2.36,2.71,1.64,2.09,1.87,1.44,2.38,,,,,,English
Evelyn Philip Shirley,e,13.05,t,8.18,o,7.84,r,7.67,n,7.42,a,7.11,i,7.03,s,6.46,h,5.51,l,4.25,13.05,8.18,7.84,7.11,7.42,7.03,7.67,6.46,5.51,4.25,3.86,2.76,2.02,3.27,2.23,1.58,1.92,1.93,1.86,1.73,,,,,,English
F. H. Leeds,e,13.01,t,9.21,a,8.03,i,7.45,o,7.33,n,6.54,r,6.47,s,6.07,h,4.68,l,4.37,13.01,9.21,7.33,8.03,6.54,7.45,6.47,6.07,4.68,4.37,3.43,3.79,2.96,2.63,2.4,2.58,2.05,1.66,1.92,1.43,,,,,,English
F. Hopkinson Smith,e,12.41,t,9.41,o,8.35,a,7.33,r,6.69,i,6.61,n,6.6,h,5.77,s,5.56,d,4.35,12.41,9.41,8.35,7.33,6.6,6.61,6.69,5.56,5.77,3.71,4.35,2.76,2.77,2.17,2.51,2.08,2.34,2.05,1.87,2.28,,,,,,English
F. L. Wallace,e,12.81,t,9.83,a,7.76,o,7.52,n,7.01,i,6.88,h,6.15,s,5.83,r,5.46,d,4.72,12.81,9.83,7.52,7.76,7.01,6.88,5.46,5.83,6.15,3.85,4.72,3.05,2.96,1.77,2.16,1.64,2.08,1.93,1.44,2.72,,,,,,English
F. Marion Crawford,e,12.29,t,9.22,a,8.26,o,7.96,n,6.93,h,6.84,i,6.29,s,6.05,r,5.56,d,4.58,12.29,9.22,7.96,8.26,6.93,6.29,5.56,6.05,6.84,4.17,4.58,2.19,2.98,1.96,2.33,1.34,2.11,2.39,1.52,2.55,,,,,,English
F. Max Müller,e,12.34,t,9.46,a,8.29,o,7.46,i,7.28,n,7.18,s,6.5,r,6.19,h,6.02,d,3.85,12.34,9.46,7.46,8.29,7.18,7.28,6.19,6.5,6.02,3.67,3.85,2.6,2.58,2.47,2.39,1.7,1.91,1.79,1.45,1.95,,,,,,English
F. O. Call,e,12.1,t,8.96,o,8.01,a,7.29,n,6.84,r,6.65,i,6.63,s,6.27,h,5.25,d,4.32,12.1,8.96,8.01,7.29,6.84,6.63,6.65,6.27,5.25,4.32,4.32,2.45,2.97,2.4,2.41,2.05,2.81,2.02,1.78,2.36,,,,,,English
F. R. Watson,e,12.27,t,9.45,o,8.28,a,7.45,i,7.38,n,6.87,r,6.7,s,6.53,h,4.62,c,4.0,12.27,9.45,8.28,7.45,6.87,7.38,6.7,6.53,4.62,3.72,3.53,4.0,3.33,2.83,1.98,2.16,2.06,1.45,1.64,1.64,,,,,,English
F. Scott Fitzgerald,e,12.24,t,8.98,a,8.16,o,7.78,i,6.87,n,6.85,s,6.11,h,5.92,r,5.89,d,4.5,12.24,8.98,7.78,8.16,6.85,6.87,5.89,6.11,5.92,4.25,4.5,2.42,2.87,2.06,2.64,1.61,2.27,2.36,1.52,2.32,,,,,,English
F. W. Nietzsche,e,12.17,t,10.08,i,7.85,o,7.75,a,7.75,n,7.03,s,6.87,r,5.73,h,5.66,l,4.05,12.17,10.08,7.75,7.75,7.03,7.85,5.73,6.87,5.66,4.05,3.33,3.12,2.54,2.68,2.37,2.0,1.92,1.91,1.39,1.62,,,,,,English
Fancis Buchanan Hamilton,e,11.85,a,9.45,t,8.91,o,7.1,i,6.86,n,6.7,r,6.63,h,6.3,s,6.15,d,3.84,11.85,8.91,7.1,9.45,6.7,6.86,6.63,6.15,6.3,3.57,3.84,2.88,2.85,2.49,2.56,2.05,1.79,1.76,1.8,1.87,,,,,,English
Fanny Burney,e,12.33,t,8.63,o,8.03,a,7.57,i,7.21,n,6.73,s,6.07,r,5.99,h,5.73,d,4.4,12.33,8.63,8.03,7.57,6.73,7.21,5.99,6.07,5.73,4.2,4.4,2.35,3.27,2.06,3.35,1.67,1.71,2.55,1.4,2.28,,,,,,English
Felix Voorhies,e,13.08,t,8.73,a,7.81,o,7.76,n,6.85,r,6.8,i,6.55,s,6.22,h,5.11,d,4.69,13.08,8.73,7.76,7.81,6.85,6.55,6.8,6.22,5.11,3.89,4.69,2.65,3.25,2.3,2.25,1.97,2.1,1.93,1.38,2.48,,,,,,English
Feodor Dostoevsky,e,12.59,t,9.59,o,7.92,i,7.06,a,7.04,n,6.86,r,6.28,s,5.88,h,5.84,l,4.17,12.59,9.59,7.92,7.04,6.86,7.06,6.28,5.88,5.84,4.17,3.99,2.72,3.07,2.55,2.51,1.86,1.98,2.0,1.59,2.12,,,,,,English
Fernando Pessoa,e,12.35,t,10.01,o,8.37,i,6.86,n,6.7,a,6.6,r,6.57,s,6.17,h,4.93,l,3.57,12.35,10.01,8.37,6.6,6.7,6.86,6.57,6.17,4.93,3.57,3.52,2.9,3.23,2.42,2.43,2.01,2.65,2.0,1.75,2.21,,,,,,English
Fiodor Dostoievski,e,12.02,t,9.14,a,8.15,o,7.89,i,7.26,n,6.98,h,6.08,s,5.81,r,5.27,d,4.21,12.02,9.14,7.89,8.15,6.98,7.26,5.27,5.81,6.08,4.21,4.21,2.44,3.06,2.08,2.74,1.62,2.08,2.57,1.45,2.31,,,,,,English
Flavius Josephus,e,12.85,t,9.97,a,8.29,h,7.61,o,7.57,n,6.61,s,6.37,i,6.33,r,5.7,d,4.55,12.85,9.97,7.57,8.29,6.61,6.33,5.7,6.37,7.61,3.08,4.55,2.28,2.68,2.35,2.62,1.68,1.74,1.73,1.61,2.38,,,,,,English
Flora Annie Steel,e,12.37,t,9.24,a,7.94,o,7.45,h,6.73,n,6.5,i,6.23,r,6.15,s,6.15,d,4.62,12.37,9.24,7.45,7.94,6.5,6.23,6.15,6.15,6.73,4.22,4.62,2.13,2.97,2.44,2.27,1.6,2.16,1.93,1.85,2.65,,,,,,English
Florence A. Merriam,e,12.5,t,9.52,o,7.51,a,7.48,n,6.87,i,6.81,h,6.42,s,5.97,r,5.88,d,4.5,12.5,9.52,7.51,7.48,6.87,6.81,5.88,5.97,6.42,4.17,4.5,2.3,2.73,2.42,2.18,1.66,2.47,1.7,1.92,2.69,,,,,,English
Florence Crannell Means,e,12.68,t,8.86,a,7.87,o,7.44,n,6.72,i,6.16,r,6.06,s,6.06,h,5.99,d,5.07,12.68,8.86,7.44,7.87,6.72,6.16,6.06,6.06,5.99,4.23,5.07,2.68,2.58,1.86,2.45,1.89,2.57,2.11,1.64,2.45,,,,,,English
Florence Hartley,e,12.65,t,9.38,o,8.21,a,7.55,n,7.02,i,7.0,r,6.58,s,6.19,h,4.89,l,4.21,12.65,9.38,8.21,7.55,7.02,7.0,6.58,6.19,4.89,4.21,3.59,2.79,3.15,2.56,2.34,2.02,1.8,2.27,1.5,1.92,,,,,,English
Florence White Williams,e,11.81,t,10.24,o,8.11,i,7.4,r,7.05,a,6.99,n,6.65,s,5.14,h,4.52,l,4.25,11.81,10.24,8.11,6.99,6.65,7.4,7.05,5.14,4.52,4.25,3.88,3.37,3.3,2.3,2.1,2.52,2.42,1.95,1.68,2.04,,,,,,English
Floyd L. Wallace,e,12.27,t,9.77,o,8.06,a,7.8,i,6.93,n,6.7,r,5.86,h,5.67,s,5.61,d,4.57,12.27,9.77,8.06,7.8,6.7,6.93,5.86,5.61,5.67,3.99,4.57,3.32,3.0,1.88,2.28,1.94,2.16,1.95,1.42,2.36,,,,,,English
Frances Bacon,e,12.51,t,9.49,a,8.13,o,7.99,n,6.84,i,6.59,s,6.5,r,6.35,h,5.85,d,3.96,12.51,9.49,7.99,8.13,6.84,6.59,6.35,6.5,5.85,3.65,3.96,2.54,2.83,2.76,2.42,1.76,1.88,1.76,1.45,2.45,,,,,,English
Frances Cavanah,e,12.42,t,8.92,a,8.45,o,8.22,n,6.67,h,6.42,i,6.26,s,5.99,r,5.78,d,4.54,12.42,8.92,8.22,8.45,6.67,6.26,5.78,5.99,6.42,3.96,4.54,2.48,2.61,1.95,2.4,1.69,2.32,1.99,1.99,2.58,,,,,,English
Frances Halton Eva Hasell,e,12.52,t,9.38,a,8.17,o,7.66,n,6.93,i,6.72,r,6.44,s,6.07,h,5.89,d,4.35,12.52,9.38,7.66,8.17,6.93,6.72,6.44,6.07,5.89,3.75,4.35,2.89,2.91,2.21,2.17,1.82,2.16,1.7,1.39,2.55,,,,,,English
Frances Hodgson Burnett,e,12.62,t,8.61,a,8.48,o,7.18,h,6.87,n,6.83,s,6.69,i,6.62,r,5.7,d,5.02,12.62,8.61,7.18,8.48,6.83,6.62,5.7,6.69,6.87,4.03,5.02,2.19,2.72,1.84,2.49,1.46,2.15,1.99,1.51,2.58,,,,,,English
Francesco Petrarca,e,12.23,t,8.72,o,8.18,i,7.84,a,7.76,n,6.85,r,6.82,s,6.23,h,4.33,l,4.26,12.23,8.72,8.18,7.76,6.85,7.84,6.82,6.23,4.33,4.26,3.64,3.39,2.88,2.11,2.57,2.25,2.33,1.66,1.56,1.71,,,,,,English
Francis A. March and Richard J. Beamish,e,12.75,t,9.44,a,8.4,n,7.45,o,7.07,i,6.99,r,6.84,s,6.24,h,5.34,d,4.01,12.75,9.44,7.07,8.4,7.45,6.99,6.84,6.24,5.34,3.65,4.01,2.88,2.61,2.62,2.56,1.9,2.08,1.55,1.57,1.92,,,,,,English
Francis Bacon,e,12.57,t,9.93,o,7.71,a,7.59,i,7.42,n,7.3,s,6.65,r,6.17,h,5.82,d,3.81,12.57,9.93,7.71,7.59,7.3,7.42,6.17,6.65,5.82,3.35,3.81,2.86,2.92,2.66,2.51,1.98,1.73,1.55,1.53,1.72,,,,,,English
Francis Cunningham,e,12.5,t,9.45,o,7.77,i,7.64,a,7.24,n,7.07,h,6.54,s,6.42,r,5.81,d,4.1,12.5,9.45,7.77,7.24,7.07,7.64,5.81,6.42,6.54,3.45,4.1,3.07,2.64,2.75,2.41,2.0,1.82,1.61,1.39,2.04,,,,,,English
Francis Dodd,e,11.87,a,8.75,t,8.36,o,7.46,i,7.39,n,7.13,r,7.12,s,5.48,h,4.79,d,4.38,11.87,8.36,7.46,8.75,7.13,7.39,7.12,5.48,4.79,3.73,4.38,3.76,2.43,2.52,3.0,1.94,2.03,1.55,1.78,1.64,,,,,,English
Francis Grierson,e,12.06,t,8.99,i,7.83,n,7.72,a,7.72,o,7.62,s,6.44,r,5.92,h,5.39,l,4.23,12.06,8.99,7.62,7.72,7.72,7.83,5.92,6.44,5.39,4.23,3.86,3.35,2.71,2.33,2.55,2.09,1.93,1.65,1.31,2.09,,,,,,English
