Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,Language,char_k,char_y,char_j,char_w,char_z,char_ſ,char_ī,char_é,char_þ,char_ä,char_ö,char_á,char_æ,char_о,char_а,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_б,char_ь,char_м,char_ч,char_я,char_í,char_å,char_ó
Morley Roberts,e,12.14,t,9.37,a,8.28,o,7.1,i,6.91,h,6.86,n,6.62,s,6.03,r,5.46,d,4.99,12.14,8.28,6.03,6.62,6.91,5.46,3.87,9.37,7.1,2.8,4.99,2.16,2.65,,,2.05,1.94,1.92,6.86,,English,1.43,2.08,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Alex. McVeigh Miller,e,12.85,t,8.13,a,7.83,o,7.39,i,6.65,r,6.64,n,6.14,h,6.05,s,5.76,l,4.95,12.85,7.83,5.76,6.14,6.65,6.64,4.95,8.13,7.39,2.86,4.74,2.4,2.63,1.48,,2.2,1.78,2.11,6.05,,English,,2.54,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. C. N. Williamson,e,12.61,t,8.79,a,7.9,o,7.75,n,6.71,i,6.71,h,6.59,s,6.16,r,5.98,d,4.22,12.61,7.9,6.16,6.71,6.71,5.98,4.09,8.79,7.75,3.08,4.22,2.49,2.61,1.7,,2.02,1.47,2.17,6.59,,English,,2.16,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. G. de Horne Vaizey,e,12.42,t,8.7,a,7.96,o,7.71,i,6.71,n,6.67,s,6.26,h,6.07,r,6.02,d,4.51,12.42,7.96,6.26,6.67,6.71,6.02,4.35,8.7,7.71,2.97,4.51,2.37,2.28,1.93,,2.41,1.47,2.14,6.07,,English,,2.23,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Gordon Smythies,e,11.99,t,8.54,o,8.02,a,7.68,i,6.97,n,6.72,s,6.57,r,6.08,h,5.92,l,4.37,11.99,7.68,6.57,6.72,6.97,6.08,4.37,8.54,8.02,3.3,3.94,2.21,2.68,1.55,,2.14,1.55,2.22,5.92,,English,,2.84,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Isabella Beeton,e,12.73,t,9.46,a,7.68,o,7.52,i,6.92,n,6.53,s,6.51,r,6.31,h,5.11,l,4.4,12.73,7.68,6.51,6.53,6.92,6.31,4.4,9.46,7.52,3.08,4.02,2.79,2.47,2.2,,1.91,1.98,2.77,5.11,,English,,1.49,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Mary Rowlandson,e,12.29,t,9.72,o,7.78,a,7.77,n,7.01,i,6.88,h,6.67,r,5.62,s,5.43,d,4.74,12.29,7.77,5.43,7.01,6.88,5.62,3.31,9.72,7.78,2.79,4.74,2.2,3.21,1.52,,2.36,1.55,2.03,6.67,,English,,2.1,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. William T. Savage,e,12.76,t,8.81,a,7.7,o,7.55,n,7.15,i,6.93,r,6.25,h,6.19,s,6.18,d,4.45,12.76,7.7,6.18,7.15,6.93,6.25,3.8,8.81,7.55,2.81,4.45,2.59,2.78,1.77,,2.06,1.49,2.34,6.19,,English,,1.93,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murasaki,e,12.97,t,9.21,a,7.69,o,7.43,h,7.08,n,6.76,i,6.71,s,6.51,r,5.66,d,4.34,12.97,7.69,6.51,6.76,6.71,5.66,3.79,9.21,7.43,2.9,4.34,2.32,2.49,1.62,,2.22,1.45,2.04,7.08,,English,,1.85,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muḥammad ibn ʻUmar Tūnisī,e,12.94,t,9.16,a,8.53,o,7.43,n,6.65,i,6.48,s,6.46,h,6.36,r,6.28,d,4.41,12.94,8.53,6.46,6.65,6.48,6.28,3.55,9.16,7.43,2.77,4.41,2.5,2.57,1.79,,1.78,1.51,2.63,6.36,,English,,1.69,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
