Language,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,char_à,char_é,char_y,char_x,char_j,char_í,char_ó,char_w,char_è,char_ò,char_ç,char_k,char_ú,char_ï,char_z,char_ü,char_ñ,char_ø,char_æ,char_ö,char_å,char_â,char_ä,char_û,char_ë,char_ê,char_ô,char_ἄ,char_σ,char_β,char_ε,char_τ,char_ο,char_ς,char_δ,char_ά,char_ῤ,char_ν,char_ῶ,char_ρ,char_γ,char_έ,char_λ,char_ω,char_μ,char_α,char_κ,char_ι,char_θ,char_ῖ,char_ὡ,char_ἔ,char_φ,char_ί,char_π,char_ὸ,char_υ,char_á,char_î,char_ƒ,char_ì,char_ù,char_ψ,char_η,char_œ,char_ἀ,char_ζ,char_ὐ,char_ἰ,char_ό,char_ὁ,char_ῦ,char_ύ,char_ἐ,char_ã,char_غ,char_خ,char_ط,char_ث,char_ت,char_ع,char_ا,char_ص,char_س,char_ض,char_ظ,char_د,char_ة,char_ح,char_ق,char_ى,char_ر,char_ب,char_ج,char_ذ,char_ز,char_ش,char_ێ,char_ل,char_م,char_ن,char_ف,char_ك,char_ڢ,char_و,char_ه,char_ي,char_أ,char_إ,char_آ,char_ώ,char_χ,char_ᾶ,char_ξ,char_ā,char_έ,char_ά,char_ὅ,char_ό,char_ὼ,char_ϕ,char_ἶ,char_ᾢ,char_ύ,char_ῳ,char_ὄ,char_ÿ,char_ῥ,char_ὺ,char_ϗ,char_ὶ,char_ῒ,char_ἃ,char_ᾷ,char_ὴ,char_ו,char_נ,char_ד,char_ה,char_ם,char_ל,char_ע,char_י,char_מ,char_ש,char_ז,char_א,char_ב,char_ὔ,char_ἱ,char_צ,char_ס,char_ר,char_פ,char_ὰ,char_ת,char_ή,char_ך,char_ק,char_ὑ,char_ὲ,char_ὖ,char_ἂ,char_ἡ,char_ἑ,char_ῇ,char_ᾳ,char_ὢ,char_ὕ,char_ὗ,char_ἢ,char_ῷ,char_ὀ,char_ἴ,char_ō,char_ă,char_ŭ,char_ē,char_ṭ,char_ḥ,char_ṣ,char_ḳ,char_ạ,char_ĕ,char_ḍ,char_ẓ,char_ª,char_ſ,char_õ,char_ꝶ,char_ꝓ,char_ʒ,char_ẽ,char_ꝟ,char_ĩ,char_ũ,char_ī,char_ū,char_ἠ,char_ἕ,char_ў,char_ἷ,char_כ,char_ὥ,char_ῆ,char_ῃ,char_ἦ,char_ὤ,char_ἁ,char_ג,char_ȳ,char_ŏ,char_ĭ,char_º,char_ί,char_ὠ,char_ŷ,char_ῲ,char_ý,char_ᾖ,char_ὦ,char_ἥ,char_ἤ,char_ṛ,char_ᾱ,char_ấ,char_ϝ,char_ḫ,char_č,char_ῴ,char_ṷ,char_ṇ,char_ğ,char_ἆ,char_ě,char_ʳ,char_ᵗ,char_ⁿ,char_ᵒ,char_ˡ,char_ⁱ,char_ˢ,char_ᵈ,char_ᵉ,char_ʰ,char_ˣ,char_š,char_µ,char_ή,char_ℨ,char_ß,char_ᾑ,char_ǒ,char_ǔ,char_ˆ,char_ˇ,char_ώ,char_ὃ,char_ΐ,char_ἵ,char_ᵐ,char_ɑ,char_ↄ,char_ð,char_þ,char_ὂ,char_ž,char_ὒ,char_ʹ,char_ח,char_ἲ,char_ἳ,char_ʾ,char_ῡ,char_ῢ,char_ῑ,char_ἒ,char_ᵖ,char_ϙ,char_ἅ,char_ͱ,char_ϲ,char_ϑ,char_ϻ,char_ϊ,char_ȧ,char_ט,char_ן,char_ף,char_ȝ,char_ǽ,char_ἧ,char_ȯ,char_ṅ,char_ϰ,char_明,char_治,char_三,char_十,char_八,char_年,char_六,char_月,char_二,char_日,char_印,char_五,char_訂,char_正,char_增,char_補,char_第,char_版,char_發,char_行,char_九,char_一,char_四,char_英,char_文,char_武,char_士,char_道,char_價,char_金,char_壹,char_圓,char_著,char_作,char_權,char_登,char_錄,char_濟,char_者,char_新,char_渡,char_戶,char_稻,char_造,char_東,char_京,char_市,char_小,char_石,char_川,char_區,char_向,char_臺,char_町,char_丁,char_目,char_七,char_番,char_地,char_櫻,char_井,char_彥,char_郎,char_牛,char_込,char_ヶ,char_谷,char_加,char_賀,char_刷,char_青,char_木,char_弘,char_所,char_株,char_式,char_會,char_社,char_秀,char_舍,char_工,char_場,char_未,char_出,char_麴,char_ᾧ,char_פּ,char_ŕ,char_ἣ,char_ᾦ,char_ᾕ,char_ᾗ,char_ὧ,char_ὓ,char_ᾥ,char_ἓ,char_ϋ,char_ᾀ,char_ΐ,char_ʹ,char_ᾐ,char_ῄ,char_ᾂ,char_چ,char_ė,char_ᚮ,char_ǣ,char_ʔ,char_ŋ,char_ǎ,char_ǐ,char_ə,char_ř,char_ᵏ,char_ǹ,char_ک,char_卍,char_丞,char_相,char_省,char_站,char_ỹ,char_ỳ,char_ś,char_ʻ,char_ᵀ,char_כּ,char_שׁ,char_ץ,char_ᵃ,char_б,char_а,char_я,char_г,char_ﬠ,char_ₙ,char_ₘ,char_ł,char_ϐ,char_ɣ,char_ὣ,char_ı,char_ℳ,char_ῂ,char_ΰ,char_ᾤ,char_ć,char_ő,char_ű,char_ȣ,char_о,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_ь,char_м,char_ч,char_ы,char_з,char_ш,char_ж,char_й,char_х,char_ю,char_ц,char_ф,char_щ,char_э,char_ъ
German,16.66,5.58,6.28,9.97,7.94,6.97,3.72,6.02,2.62,3.86,4.94,3.3,2.69,0.79,0.82,2.92,1.91,1.58,5.0,0.05,0.0,0.01,0.19,0.04,0.24,0.0,0.0,1.67,0.0,0.0,0.0,1.21,0.0,0.0,1.09,0.59,0.0,0.0,0.0,0.26,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,0.34,,0.0,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian,10.99,8.56,5.63,6.64,4.64,4.2,6.02,7.7,4.53,1.24,2.62,0.97,4.2,0.84,1.99,3.81,1.9,0.87,2.08,0.02,0.0,2.89,2.33,0.11,1.12,0.2,0.55,0.19,,,,4.23,0.17,,3.37,0.53,,,,1.06,,,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,,,,0.0,,0.0,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian,11.55,10.97,5.08,6.89,10.51,6.69,6.18,6.24,9.1,3.1,3.8,4.3,2.68,2.83,1.84,2.04,1.11,1.19,1.24,0.53,0.14,0.04,0.14,0.1,0.04,0.04,0.0,0.12,0.23,0.16,0.0,0.07,0.02,0.0,0.7,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0,,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin,11.02,8.59,6.92,6.1,9.95,7.26,3.46,8.4,6.14,6.95,3.23,4.15,4.66,3.09,1.38,1.39,1.47,1.16,1.17,1.41,0.03,0.0,0.4,0.47,0.17,,,0.21,0.01,0.01,,0.17,,,0.03,0.0,,,0.42,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin with English and Greek (ancient),11.75,7.49,7.29,6.35,9.48,5.56,3.32,8.63,6.78,4.71,3.51,3.71,3.54,2.29,1.17,1.24,1.38,1.93,3.68,0.88,,0.0,0.88,0.35,0.08,,,1.05,,,,0.29,,,0.05,0.0,,,0.0,,,,,,0.0,,0.0,,0.09,0.0,0.2,0.18,0.23,0.08,0.04,,,0.2,,0.07,0.04,,0.06,0.04,0.07,0.33,0.08,0.26,0.03,,,,0.03,,0.09,,0.08,,,,,,0.0,0.11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle English,14.93,7.06,6.35,7.17,5.67,5.58,4.11,9.12,7.29,2.35,4.0,2.05,2.48,1.46,0.78,1.72,1.4,2.34,7.67,0.1,,0.0,2.91,0.09,0.01,,0.0,2.4,0.0,,,0.79,0.0,,0.01,,,,,0.0,,,,,0.01,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU,12.25,7.23,6.09,6.9,7.89,6.51,4.14,10.12,7.53,2.77,3.42,3.41,1.94,2.11,0.83,2.45,2.02,2.67,5.2,0.12,,,1.6,0.16,0.28,,,1.55,,,,0.67,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portuguese,10.91,12.09,6.07,4.58,6.11,7.54,3.81,5.11,9.45,3.9,5.41,3.96,4.53,2.96,1.55,1.68,1.2,1.74,1.25,1.2,0.0,0.35,0.16,0.29,0.59,0.35,0.34,0.0,0.0,0.0,0.5,0.08,0.09,0.0,0.39,0.0,0.0,,0.0,0.0,,0.08,0.0,0.0,0.0,0.27,0.16,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.54,0.0,,0.0,0.0,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.05,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,1.57,0.88,0.67,0.89,0.97,1.01,0.43,1.31,1.16,0.44,0.45,0.52,0.31,0.38,0.09,0.36,0.23,0.33,0.45,0.0,,,0.27,0.02,0.08,,,0.23,,,,0.12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.46,1.35,1.13,,,,,,,,,,,,,,,,,10.02,6.2,5.12,5.1,4.8,4.73,4.53,4.19,4.11,3.99,3.89,3.29,3.17,1.92,1.79,1.35,1.28,1.09,1.08,1.03,0.91,0.62,0.45,0.38,0.36,0.11,0.08,0.02
Spanish,13.13,11.83,7.43,6.71,5.2,6.43,5.46,4.15,9.05,4.39,5.14,3.83,2.78,2.3,1.07,1.14,1.51,0.62,1.18,1.47,0.0,0.42,1.35,0.08,0.59,0.73,0.52,0.08,0.0,,0.0,0.05,0.09,0.0,0.39,0.0,0.24,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swedish,9.63,9.4,5.59,8.7,5.01,7.14,5.0,8.29,4.49,2.13,5.34,1.6,3.4,1.37,2.21,3.8,1.22,2.23,3.31,0.04,0.0,0.01,0.67,0.04,1.15,,,0.15,0.0,,,2.73,,0.01,0.01,0.0,,,0.0,1.39,1.75,,2.05,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagalog,1.22,21.36,4.35,13.84,7.82,1.75,3.98,4.49,2.9,2.98,1.73,2.29,3.58,2.8,0.11,9.77,2.01,0.2,1.73,0.07,0.23,0.02,2.98,0.02,0.07,0.58,0.92,0.88,0.0,0.08,,1.66,0.12,0.0,0.05,0.0,0.04,,0.0,,0.0,0.36,0.0,0.01,,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,0.29,,0.14,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
